NAME,COUNTY,GNIS_MATCH,GNIS_COUNT,GNIS_LAT,GNIS_LON,GNIS_SIMIL,INCORP_YR,YR_1850,YR_1860,YR_1870,YR_1880,YR_1890,YR_1900,YR_1910,YR_1920,YR_1930,YR_1940,YR_1950,YR_1960,YR_1970,YR_1980,YR_1990,YR_2000
Cosumnes,El Dorado,Cosumnes Mine,El Dorado,38.66434960000,-120.53659210000,0.96190476191,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coulterville,Mariposa,Coulterville,Mariposa,37.71048600000,-120.19796580000,1.00000000000,0,0,0,0,224,525,0,0,0,0,0,0,0,0,0,0,0
Covelo,Mendocino,Covelo,Mendocino,39.79293240000,-123.24806870000,1.00000000000,0,0,0,0,183,0,0,0,0,0,0,0,0,0,1,1,1
Crescent,Del Norte,Crescent City,Del Norte,41.75594810000,-124.20174740000,0.96363636364,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crescent City,Del Norte,Crescent City,Del Norte,41.75594810000,-124.20174740000,1.00000000000,1854,0,638,458,0,907,699,1,955,2,1,2,3,3,3,4,4
Crescent Mills,Plumas,Crescent Mills,Plumas,40.09655790000,-120.91078820000,1.00000000000,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,258
Cressy,Merced,Cressey,Merced,37.41965980000,-120.66742070000,0.97224665176,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,Nevada,Murphy Cabin,Nevada,39.32185050000,-120.23186530000,0.84485994235,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
Cuffy's Cove,Mendocino,Cuffeys Cove,Mendocino,39.14101410000,-123.73112670000,0.91606686528,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0
"Culloma, vicinity of",El Dorado,Coloma,El Dorado,38.79990140000,-120.89021600000,0.87377805884,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damascus,Placer,Damascus,Placer,39.14656700000,-120.71771010000,1.00000000000,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
Davis,Yolo,Davis,Yolo,38.54490650000,-121.74051670000,1.00000000000,1917,0,0,0,441,547,0,0,939,1,2,4,9,23,37,46,60
Dayton,Butte,Dayton,Butte,39.64849500000,-121.87219940000,1.00000000000,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0
Deadwood,Placer,Deadwood,Placer,39.08101200000,-120.68826290000,1.00000000000,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
Deer Creek,Yuba,Dry Creek,Yuba,38.97378380000,-121.52579350000,0.93589379999,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delano,Kern,Delano,Kern,35.76884250000,-119.24705360000,1.00000000000,1915,0,0,0,401,0,0,0,805,3,5,9,12,15,16,23,39
Delta,Shasta,Delta,Shasta,40.94431610000,-122.42473550000,1.00000000000,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
Denverton,Solano,Denverton,Solano,38.22463640000,-121.89746150000,1.00000000000,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
Diamond Springs,El Dorado,Diamond Springs,El Dorado,38.69462590000,-120.81493550000,1.00000000000,0,420,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
Dixon,Solano,Dixon,Solano,38.44546410000,-121.82329580000,1.00000000000,1878,0,0,317,0,1,783,827,926,1,1,2,3,4,8,10,16
Dogtown,Butte,Buttes Canyon,San Diego,33.19143100000,-116.19222940000,0.83304932189,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0
Donahue,Sonoma,Donahue (historical),Sonoma,38.18936200000,-122.54192610000,0.96470588235,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0
Doton's Bar and Long's Bar,Sutter,Long Bridge,Sutter,39.14822510000,-121.83830390000,0.82805652837,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas City,Trinity,Douglas City,Trinity,40.65208970000,-122.94474740000,1.00000000000,0,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas Flat,Calaveras,Douglas Flat,Calaveras,38.11436520000,-120.45492090000,1.00000000000,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0
Downey,Los Angeles,Downey,Los Angeles,33.94001430000,-118.13256880000,1.00000000000,1956,0,0,0,237,0,0,0,0,0,0,0,83,89,83,91,107
Downieville,Sierra,Downieville,Sierra,39.55934050000,-120.82689050000,1.00000000000,0,0,940,704,650,0,500,0,0,0,0,0,0,0,0,0,0
Dry Creek,El Dorado,Dry Creek,El Dorado,38.73601340000,-120.95105190000,1.00000000000,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dutch Creek,El Dorado,Dutch Creek,El Dorado,38.79906820000,-120.88160450000,1.00000000000,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dutch Flat,Placer,Dutch Flat,Placer,39.20600900000,-120.83771690000,1.00000000000,0,0,0,0,939,682,0,0,0,0,0,0,0,0,0,0,0
East Bakersfield,Kern,East Bakersfield,Kern,35.38662500000,-118.97732200000,1.00000000000,0,0,0,0,242,622,0,0,0,38,0,0,0,0,0,0,0
East Canyon,El Dorado,East Big Canyon Creek,El Dorado,38.56157330000,-120.84549220000,0.93913043478,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Dorado,El Dorado,El Dorado,El Dorado,38.68268170000,-120.84771460000,1.00000000000,0,0,558,0,200,0,0,0,0,0,0,0,0,0,0,0,0
El Dorado Hills,El Dorado,El Dorado Hills,El Dorado,38.68573670000,-121.08216700000,1.00000000000,0,0,558,0,0,0,0,0,0,0,0,0,0,0,3,6,18
